,open,high,low,close,volume,value
2024-01-31 15:25:00,59030000.0,59032000.0,59006000.0,59032000.0,2.7199856,160559253.66035
2024-01-31 15:26:00,59032000.0,59038000.0,59010000.0,59036000.0,2.67362834,157808064.93821
2024-01-31 15:27:00,59034000.0,59058000.0,59021000.0,59058000.0,1.95541245,115449601.44083
2024-01-31 15:28:00,59058000.0,59058000.0,59050000.0,59053000.0,0.41756713,24659575.91315
2024-01-31 15:29:00,59050000.0,59054000.0,59037000.0,59040000.0,1.55479253,91805966.04109
2024-01-31 15:30:00,59040000.0,59060000.0,59037000.0,59045000.0,2.18347462,128930383.87171
2024-01-31 15:31:00,59040000.0,59060000.0,59026000.0,59026000.0,1.65294055,97594291.71968
2024-01-31 15:32:00,59026000.0,59037000.0,59010000.0,59010000.0,0.56195211,33170717.50395
2024-01-31 15:33:00,59016000.0,59032000.0,58980000.0,58980000.0,2.35104724,138725836.46817
2024-01-31 15:34:00,59009000.0,59009000.0,58991000.0,59008000.0,1.06409022,62778027.16472
2024-01-31 15:35:00,59008000.0,59037000.0,58990000.0,59023000.0,1.18698274,70051437.77286
2024-01-31 15:36:00,59023000.0,59023000.0,58991000.0,59022000.0,2.58882653,152750064.39993
2024-01-31 15:37:00,59022000.0,59037000.0,58991000.0,59037000.0,2.185504,128998845.76404
2024-01-31 15:38:00,59023000.0,59040000.0,58976000.0,58976000.0,1.10634728,65270820.40297
2024-01-31 15:39:00,58977000.0,59002000.0,58974000.0,58975000.0,1.44881947,85448367.36196
2024-01-31 15:40:00,58976000.0,59004000.0,58969000.0,58977000.0,2.07576272,122420329.49664
2024-01-31 15:41:00,58977000.0,59000000.0,58966000.0,58967000.0,1.53547187,90554077.32706
2024-01-31 15:42:00,58998000.0,59000000.0,58966000.0,58977000.0,0.26128898,15409017.35158
2024-01-31 15:43:00,58999000.0,59000000.0,58976000.0,58997000.0,0.7059543,41646422.79758
2024-01-31 15:44:00,58998000.0,59000000.0,58978000.0,59000000.0,1.49316017,88083614.7944
2024-01-31 15:45:00,58997000.0,59016000.0,58997000.0,58998000.0,1.23223872,72703196.89644
2024-01-31 15:46:00,59016000.0,59016000.0,58979000.0,58997000.0,0.80782934,47661708.53849
2024-01-31 15:47:00,58979000.0,59013000.0,58979000.0,58997000.0,0.97471744,57503979.07194
2024-01-31 15:48:00,58997000.0,58997000.0,58968000.0,58970000.0,2.1021112,123976901.18967
2024-01-31 15:49:00,58996000.0,59013000.0,58970000.0,59012000.0,1.67793974,98990234.90421
2024-01-31 15:50:00,59012000.0,59016000.0,58967000.0,58998000.0,0.97107906,57293956.90498
2024-01-31 15:51:00,58999000.0,59000000.0,58970000.0,58999000.0,0.31287061,18458467.55964
2024-01-31 15:52:00,58998000.0,58999000.0,58975000.0,58997000.0,0.57331039,33820565.42854
2024-01-31 15:53:00,58977000.0,58997000.0,58965000.0,58965000.0,0.78437426,46257613.05081
2024-01-31 15:54:00,58966000.0,58967000.0,58965000.0,58966000.0,0.54798814,32312825.99442
2024-01-31 15:55:00,58967000.0,58967000.0,58962000.0,58965000.0,1.15054067,67841059.10658
2024-01-31 15:56:00,58965000.0,59000000.0,58962000.0,58968000.0,1.83643789,108300774.02405
